time_s;EMG_mV
0.3030;-0.0999
0.3040;0.0193
0.3050;0.1354
0.3060;0.1096
0.3070;-0.0387
0.3080;-0.1772
0.3090;-0.0967
0.3100;0.1096
0.3110;0.1321
0.3120;0.0516
0.3130;0.0064
0.3140;0.0838
0.3150;0.0000
0.3160;-0.0097
0.3170;0.0161
0.3180;0.0612
0.3190;0.0999
0.3200;0.0548
0.3210;-0.0935
0.3220;-0.2385
0.3230;-0.1289
0.3240;0.1257
0.3250;0.2030
0.3260;-0.0290
0.3270;-0.2643
0.3280;-0.2320
0.3290;-0.0935
0.3300;0.0032
0.3310;0.0226
0.3320;0.2385
0.3330;0.0129
0.3340;0.0129
0.3350;0.1934
0.3360;0.0612
0.3370;0.0000
0.3380;-0.0290
0.3390;-0.0677
0.3400;-0.0258
0.3410;0.0999
0.3420;0.0709
0.3430;-0.0677
0.3440;-0.0193
0.3450;0.0226
0.3460;0.0032
0.3470;-0.0226
0.3480;-0.0226
0.3490;-0.0161
0.3500;0.0354
0.3510;0.0451
0.3520;-0.0064
0.3530;-0.1096
0.3540;-0.0806
0.3550;-0.0161
0.3560;0.0193
0.3570;-0.0032
0.3580;-0.4415
0.3590;-0.5060
0.3600;-0.1289
0.3610;0.3835
0.3620;0.4028
0.3630;0.1096
0.3640;0.2095
0.3650;0.3126
0.3660;0.3029
0.3670;-0.0322
0.3680;-0.1579
0.3690;-0.1515
0.3700;-0.1063
0.3710;-0.0290
0.3720;-0.0322
0.3730;0.0483
0.3740;0.0967
0.3750;0.1031
0.3760;-0.0161
0.3770;-0.3416
0.3780;-0.2159
0.3790;0.1805
0.3800;0.2965
0.3810;0.0870
0.3820;-0.1063
0.3830;-0.1708
0.3840;-0.1644
0.3850;-0.2353
0.3860;0.0322
0.3870;0.1515
0.3880;0.0387
0.3890;-0.3867
0.3900;-0.4802
0.3910;-0.0451
0.3920;0.6026
0.3930;0.5930
0.3940;0.2900
0.3950;-0.0322
0.3960;-0.1031
0.3970;0.0032
0.3980;-0.0419
0.3990;-0.0064
0.4000;-0.0354
0.4010;-0.0064
0.4020;-0.0097
0.4030;-0.0419
0.4040;-0.0773
0.4050;-0.0516
0.4060;-0.0322
0.4070;-0.0354
0.4080;-0.0580
0.4090;-0.1354
0.4100;-0.1547
0.4110;0.1482
0.4120;0.3674
0.4130;0.1257
0.4140;-0.0612
0.4150;-0.0741
0.4160;-0.0161
0.4170;-0.0258
0.4180;0.0354
0.4190;0.1128
0.4200;0.1257
0.4210;0.0064
0.4220;-0.0645
0.4230;-0.1837
0.4240;-0.1096
0.4250;-0.0773
0.4260;-0.1708
0.4270;-0.1096
0.4280;-0.0226
0.4290;0.0451
0.4300;0.0741
0.4310;0.0097
0.4320;-0.0226
0.4330;0.0000
0.4340;0.0999
0.4350;0.0935
0.4360;0.0161
0.4370;0.0193
0.4380;0.0032
0.4390;-0.1966
0.4400;-0.1579
0.4410;0.0064
0.4420;-0.0097
0.4430;-0.0129
0.4440;0.0483
0.4450;0.1128
0.4460;0.3513
0.4470;0.1901
0.4480;-0.1289
0.4490;-0.3223
0.4500;-0.0806
0.4510;0.1837
0.4520;0.1128
0.4530;-0.1160
0.4540;-0.0322
0.4550;0.0773
0.4560;0.1257
0.4570;0.0193
0.4580;0.0967
0.4590;0.1547
0.4600;0.0226
0.4610;-0.1772
0.4620;-0.2353
0.4630;-0.2739
0.4640;-0.2320
0.4650;0.0806
0.4660;0.2320
0.4670;0.2707
0.4680;0.0000
0.4690;-0.0032
0.4700;-0.0999
0.4710;-0.0999
0.4720;-0.1289
0.4730;-0.0741
0.4740;-0.1096
0.4750;0.0064
0.4760;0.1257
0.4770;0.1869
0.4780;0.1772
0.4790;0.0193
0.4800;-0.0258
0.4810;-0.0483
0.4820;-0.0419
0.4830;-0.1676
0.4840;-0.0354
0.4850;0.1450
0.4860;0.2256
0.4870;0.0999
0.4880;-0.0322
0.4890;-0.0677
0.4900;-0.0741
0.4910;-0.0806
0.4920;-0.0419
0.4930;-0.0451
0.4940;0.0097
0.4950;0.0387
0.4960;0.0580
0.4970;0.0741
0.4980;0.0612
0.4990;-0.0129
0.5000;-0.0741
0.5010;-0.0516
0.5020;-0.1418
0.5030;-0.1225
0.5040;-0.0709
0.5050;-0.2707
0.5060;-0.2320
0.5070;0.0097
0.5080;0.0935
0.5090;0.0999
0.5100;0.1063
0.5110;0.2610
0.5120;0.3384
